cfg,trend_d,trend_p,trend_rr,trend_sl_atr,trend_tp_r,trend_time_stop,session_name,session_hours,minute_guard,n_trades,n_trend,n_range,winrate,avg_r,pf,sum_r,r_p10,r_p50,r_p90,SL_rate,TP_rate,FLIP_rate,TIME_rate
C00029_US_15_16_mg10_d0.30_p0.65_rr1.10_sl1.00_tp2.00_t45,0.3,0.65,1.1,1.0,2.0,45,US_15_16,"15,16",10,132,132,0,0.13636363636363635,-0.5909090909090909,0.3157894736842105,-78.0,-1.0,-1.0,2.0,0.8636363636363636,0.13636363636363635,0.0,0.0
C00030_US_15_16_mg10_d0.30_p0.65_rr1.10_sl1.00_tp2.00_t60,0.3,0.65,1.1,1.0,2.0,60,US_15_16,"15,16",10,132,132,0,0.13636363636363635,-0.5909090909090909,0.3157894736842105,-78.0,-1.0,-1.0,2.0,0.8636363636363636,0.13636363636363635,0.0,0.0
C00021_US_15_16_mg10_d0.30_p0.60_rr1.10_sl1.00_tp2.00_t45,0.3,0.6,1.1,1.0,2.0,45,US_15_16,"15,16",10,142,142,0,0.13380281690140844,-0.5985915492957746,0.3089430894308943,-85.0,-1.0,-1.0,2.0,0.8661971830985915,0.13380281690140844,0.0,0.0
C00022_US_15_16_mg10_d0.30_p0.60_rr1.10_sl1.00_tp2.00_t60,0.3,0.6,1.1,1.0,2.0,60,US_15_16,"15,16",10,142,142,0,0.13380281690140844,-0.5985915492957746,0.3089430894308943,-85.0,-1.0,-1.0,2.0,0.8661971830985915,0.13380281690140844,0.0,0.0
C00057_US_15_16_mg15_d0.30_p0.65_rr0.90_sl1.00_tp2.00_t45,0.3,0.65,0.9,1.0,2.0,45,US_15_16,"15,16",15,135,135,0,0.13333333333333333,-0.6,0.3076923076923077,-81.0,-1.0,-1.0,2.0,0.8666666666666667,0.13333333333333333,0.0,0.0
C00058_US_15_16_mg15_d0.30_p0.65_rr0.90_sl1.00_tp2.00_t60,0.3,0.65,0.9,1.0,2.0,60,US_15_16,"15,16",15,135,135,0,0.13333333333333333,-0.6,0.3076923076923077,-81.0,-1.0,-1.0,2.0,0.8666666666666667,0.13333333333333333,0.0,0.0
C00049_US_15_16_mg15_d0.30_p0.60_rr0.90_sl1.00_tp2.00_t45,0.3,0.6,0.9,1.0,2.0,45,US_15_16,"15,16",15,148,148,0,0.12837837837837837,-0.6148648648648649,0.29457364341085274,-91.0,-1.0,-1.0,2.0,0.8716216216216216,0.12837837837837837,0.0,0.0
C00050_US_15_16_mg15_d0.30_p0.60_rr0.90_sl1.00_tp2.00_t60,0.3,0.6,0.9,1.0,2.0,60,US_15_16,"15,16",15,148,148,0,0.12837837837837837,-0.6148648648648649,0.29457364341085274,-91.0,-1.0,-1.0,2.0,0.8716216216216216,0.12837837837837837,0.0,0.0
C00041_US_15_16_mg15_d0.25_p0.65_rr0.90_sl1.00_tp2.00_t45,0.25,0.65,0.9,1.0,2.0,45,US_15_16,"15,16",15,163,163,0,0.12269938650306748,-0.6319018404907976,0.27972027972027974,-103.0,-1.0,-1.0,2.0,0.8773006134969326,0.12269938650306748,0.0,0.0
C00042_US_15_16_mg15_d0.25_p0.65_rr0.90_sl1.00_tp2.00_t60,0.25,0.65,0.9,1.0,2.0,60,US_15_16,"15,16",15,163,163,0,0.12269938650306748,-0.6319018404907976,0.27972027972027974,-103.0,-1.0,-1.0,2.0,0.8773006134969326,0.12269938650306748,0.0,0.0
C00055_US_15_16_mg15_d0.30_p0.60_rr1.10_sl1.00_tp2.50_t45,0.3,0.6,1.1,1.0,2.5,45,US_15_16,"15,16",15,110,110,0,0.1,-0.6500000000000015,0.2777777777777762,-71.50000000000016,-1.0,-1.0,-0.6499999999999777,0.9,0.1,0.0,0.0
C00056_US_15_16_mg15_d0.30_p0.60_rr1.10_sl1.00_tp2.50_t60,0.3,0.6,1.1,1.0,2.5,60,US_15_16,"15,16",15,110,110,0,0.1,-0.6500000000000015,0.2777777777777762,-71.50000000000016,-1.0,-1.0,-0.6499999999999777,0.9,0.1,0.0,0.0
C00063_US_15_16_mg15_d0.30_p0.65_rr1.10_sl1.00_tp2.50_t45,0.3,0.65,1.1,1.0,2.5,45,US_15_16,"15,16",15,102,102,0,0.09803921568627451,-0.6568627450980408,0.2717391304347809,-67.00000000000016,-1.0,-1.0,-1.0,0.9019607843137255,0.09803921568627451,0.0,0.0
C00064_US_15_16_mg15_d0.30_p0.65_rr1.10_sl1.00_tp2.50_t60,0.3,0.65,1.1,1.0,2.5,60,US_15_16,"15,16",15,102,102,0,0.09803921568627451,-0.6568627450980408,0.2717391304347809,-67.00000000000016,-1.0,-1.0,-1.0,0.9019607843137255,0.09803921568627451,0.0,0.0
C00033_US_15_16_mg15_d0.25_p0.60_rr0.90_sl1.00_tp2.00_t45,0.25,0.6,0.9,1.0,2.0,45,US_15_16,"15,16",15,177,177,0,0.11864406779661017,-0.6440677966101694,0.2692307692307692,-114.0,-1.0,-1.0,2.0,0.8813559322033898,0.11864406779661017,0.0,0.0
C00034_US_15_16_mg15_d0.25_p0.60_rr0.90_sl1.00_tp2.00_t60,0.25,0.6,0.9,1.0,2.0,60,US_15_16,"15,16",15,177,177,0,0.11864406779661017,-0.6440677966101694,0.2692307692307692,-114.0,-1.0,-1.0,2.0,0.8813559322033898,0.11864406779661017,0.0,0.0
C00039_US_15_16_mg15_d0.25_p0.60_rr1.10_sl1.00_tp2.50_t45,0.25,0.6,1.1,1.0,2.5,45,US_15_16,"15,16",15,126,126,0,0.09523809523809523,-0.666666666666668,0.2631578947368407,-84.00000000000016,-1.0,-1.0,-1.0,0.9047619047619048,0.09523809523809523,0.0,0.0
C00040_US_15_16_mg15_d0.25_p0.60_rr1.10_sl1.00_tp2.50_t60,0.25,0.6,1.1,1.0,2.5,60,US_15_16,"15,16",15,126,126,0,0.09523809523809523,-0.666666666666668,0.2631578947368407,-84.00000000000016,-1.0,-1.0,-1.0,0.9047619047619048,0.09523809523809523,0.0,0.0
C00047_US_15_16_mg15_d0.25_p0.65_rr1.10_sl1.00_tp2.50_t45,0.25,0.65,1.1,1.0,2.5,45,US_15_16,"15,16",15,118,118,0,0.09322033898305085,-0.6737288135593233,0.25700934579439105,-79.50000000000016,-1.0,-1.0,-1.0,0.9067796610169492,0.09322033898305085,0.0,0.0
C00048_US_15_16_mg15_d0.25_p0.65_rr1.10_sl1.00_tp2.50_t60,0.25,0.65,1.1,1.0,2.5,60,US_15_16,"15,16",15,118,118,0,0.09322033898305085,-0.6737288135593233,0.25700934579439105,-79.50000000000016,-1.0,-1.0,-1.0,0.9067796610169492,0.09322033898305085,0.0,0.0
C00053_US_15_16_mg15_d0.30_p0.60_rr1.10_sl1.00_tp2.00_t45,0.3,0.6,1.1,1.0,2.0,45,US_15_16,"15,16",15,110,110,0,0.1,-0.7,0.2222222222222222,-77.0,-1.0,-1.0,-0.6999999999999744,0.9,0.1,0.0,0.0
C00054_US_15_16_mg15_d0.30_p0.60_rr1.10_sl1.00_tp2.00_t60,0.3,0.6,1.1,1.0,2.0,60,US_15_16,"15,16",15,110,110,0,0.1,-0.7,0.2222222222222222,-77.0,-1.0,-1.0,-0.6999999999999744,0.9,0.1,0.0,0.0
C00061_US_15_16_mg15_d0.30_p0.65_rr1.10_sl1.00_tp2.00_t45,0.3,0.65,1.1,1.0,2.0,45,US_15_16,"15,16",15,102,102,0,0.09803921568627451,-0.7058823529411765,0.21739130434782608,-72.0,-1.0,-1.0,-1.0,0.9019607843137255,0.09803921568627451,0.0,0.0
C00062_US_15_16_mg15_d0.30_p0.65_rr1.10_sl1.00_tp2.00_t60,0.3,0.65,1.1,1.0,2.0,60,US_15_16,"15,16",15,102,102,0,0.09803921568627451,-0.7058823529411765,0.21739130434782608,-72.0,-1.0,-1.0,-1.0,0.9019607843137255,0.09803921568627451,0.0,0.0
C00037_US_15_16_mg15_d0.25_p0.60_rr1.10_sl1.00_tp2.00_t45,0.25,0.6,1.1,1.0,2.0,45,US_15_16,"15,16",15,126,126,0,0.09523809523809523,-0.7142857142857143,0.21052631578947367,-90.0,-1.0,-1.0,-1.0,0.9047619047619048,0.09523809523809523,0.0,0.0
C00038_US_15_16_mg15_d0.25_p0.60_rr1.10_sl1.00_tp2.00_t60,0.25,0.6,1.1,1.0,2.0,60,US_15_16,"15,16",15,126,126,0,0.09523809523809523,-0.7142857142857143,0.21052631578947367,-90.0,-1.0,-1.0,-1.0,0.9047619047619048,0.09523809523809523,0.0,0.0
C00045_US_15_16_mg15_d0.25_p0.65_rr1.10_sl1.00_tp2.00_t45,0.25,0.65,1.1,1.0,2.0,45,US_15_16,"15,16",15,118,118,0,0.09322033898305085,-0.7203389830508474,0.205607476635514,-85.0,-1.0,-1.0,-1.0,0.9067796610169492,0.09322033898305085,0.0,0.0
C00046_US_15_16_mg15_d0.25_p0.65_rr1.10_sl1.00_tp2.00_t60,0.25,0.65,1.1,1.0,2.0,60,US_15_16,"15,16",15,118,118,0,0.09322033898305085,-0.7203389830508474,0.205607476635514,-85.0,-1.0,-1.0,-1.0,0.9067796610169492,0.09322033898305085,0.0,0.0
