cfg,tp_cp,tp1_fraction,mr_sl_atr,vol_filter_high,mr_time_stop,priority,mr_d,mr_rr,mr_cp_low,mr_cp_high,mr_mean_dist,mr_atr_pctl_max,trend_enabled,trend_d,trend_p,trend_rr,session_name,session_hours,minute_guard,n_trades,n_trend,n_range,winrate,avg_r,pf,sum_r,trend_avg_r,trend_pf,range_avg_r,range_pf,r_p10,r_p50,r_p90,SL_rate,TP_rate,FLIP_rate,TIME_rate
C00083_US_15_20_tp20.60_tp1f0.50_sl1.8_high1_t30_d0.30_rr0.90_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.5,1.8,True,30,TREND_FIRST,0.3,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,78,0,78,0.2692307692307692,-0.039442547142720844,0.8546145184588211,-3.076518677132226,0.0,0.0,-0.039442547142720844,0.8546145184588211,-1.0,0.0,0.7570051608137744,0.28205128205128205,0.6666666666666666,0.05128205128205128,0.0
C00126_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t20_d0.35_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,20,TREND_FIRST,0.35,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",10,41,0,41,0.2682926829268293,-0.049598464412187286,0.8545113933754199,-2.0335370408996787,0.0,0.0,-0.049598464412187286,0.8545113933754199,-1.0,0.0,1.1390532544378302,0.3170731707317073,0.6341463414634146,0.04878048780487805,0.0
C00153_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t30_d0.35_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,30,TREND_FIRST,0.35,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",10,41,0,41,0.2682926829268293,-0.049598464412187286,0.8545113933754199,-2.0335370408996787,0.0,0.0,-0.049598464412187286,0.8545113933754199,-1.0,0.0,1.1390532544378302,0.3170731707317073,0.6341463414634146,0.04878048780487805,0.0
C00002_US_15_20_tp20.60_tp1f0.40_sl1.8_high1_t20_d0.30_rr0.90_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.4,1.8,True,20,TREND_FIRST,0.3,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,78,0,78,0.2692307692307692,-0.03947873316212282,0.8544811365594023,-3.0793411866455798,0.0,0.0,-0.03947873316212282,0.8544811365594023,-1.0,0.0,0.7570051608137744,0.28205128205128205,0.6666666666666666,0.05128205128205128,0.0
C00029_US_15_20_tp20.60_tp1f0.40_sl1.8_high1_t30_d0.30_rr0.90_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.4,1.8,True,30,TREND_FIRST,0.3,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,78,0,78,0.2692307692307692,-0.03947873316212282,0.8544811365594023,-3.0793411866455798,0.0,0.0,-0.03947873316212282,0.8544811365594023,-1.0,0.0,0.7570051608137744,0.28205128205128205,0.6666666666666666,0.05128205128205128,0.0
C00072_US_15_20_tp20.60_tp1f0.50_sl1.8_high1_t20_d0.35_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.5,1.8,True,20,TREND_FIRST,0.35,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",10,41,0,41,0.2682926829268293,-0.04966730610763493,0.854309458044013,-2.036359550413032,0.0,0.0,-0.04966730610763493,0.854309458044013,-1.0,0.0,1.1390532544378302,0.3170731707317073,0.6341463414634146,0.04878048780487805,0.0
C00099_US_15_20_tp20.60_tp1f0.50_sl1.8_high1_t30_d0.35_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.5,1.8,True,30,TREND_FIRST,0.35,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",10,41,0,41,0.2682926829268293,-0.04966730610763493,0.854309458044013,-2.036359550413032,0.0,0.0,-0.04966730610763493,0.854309458044013,-1.0,0.0,1.1390532544378302,0.3170731707317073,0.6341463414634146,0.04878048780487805,0.0
C00018_US_15_20_tp20.60_tp1f0.40_sl1.8_high1_t20_d0.35_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.4,1.8,True,20,TREND_FIRST,0.35,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",10,41,0,41,0.2682926829268293,-0.049736147803082595,0.8541075227126059,-2.0391820599263863,0.0,0.0,-0.049736147803082595,0.8541075227126059,-1.0,0.0,1.1390532544378302,0.3170731707317073,0.6341463414634146,0.04878048780487805,0.0
C00045_US_15_20_tp20.60_tp1f0.40_sl1.8_high1_t30_d0.35_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.4,1.8,True,30,TREND_FIRST,0.35,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",10,41,0,41,0.2682926829268293,-0.049736147803082595,0.8541075227126059,-2.0391820599263863,0.0,0.0,-0.049736147803082595,0.8541075227126059,-1.0,0.0,1.1390532544378302,0.3170731707317073,0.6341463414634146,0.04878048780487805,0.0
C00111_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t20_d0.30_rr0.90_cp0.20_0.80_md0.20_ap0.90_mg10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,20,TREND_FIRST,0.3,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",10,65,0,65,0.27692307692307694,-0.04606580201763389,0.8422179095904827,-2.994277131146203,0.0,0.0,-0.04606580201763389,0.8422179095904827,-1.0,0.0,0.8164422104553798,0.3076923076923077,0.6461538461538462,0.046153846153846156,0.0
