tf,start_ts,end_ts,overlap_hours,kijun_flat_bars,ssb_flat_bars,kijun,ssb,range_mid,mid_spread,strength
D1,2023-05-15 00:00:00+00:00,2023-05-21 00:00:00+00:00,144.0,7,24,27899.6,28405.0,28152.3,505.40000000000146,33.793330239342296
D1,2022-03-08 00:00:00+00:00,2022-03-16 00:00:00+00:00,192.0,14,19,39826.85,39350.665,39588.7575,476.1849999999977,33.59589883350014
D1,2021-12-14 00:00:00+00:00,2021-12-16 00:00:00+00:00,48.0,3,28,50470.855,55043.795,52757.325,4572.939999999995,33.12846539258104
D1,2021-12-18 00:00:00+00:00,2021-12-20 00:00:00+00:00,48.0,3,28,50169.255000000005,55043.795,52606.525,4874.539999999994,32.947108756596634
D1,2023-07-24 00:00:00+00:00,2023-07-31 00:00:00+00:00,168.0,8,24,30340.0,28313.5,29326.75,2026.5,32.924867437984894
D1,2023-05-26 00:00:00+00:00,2023-05-31 00:00:00+00:00,120.0,6,24,27795.5,28405.0,28100.25,609.5,32.88668135389544
D1,2021-04-26 00:00:00+00:00,2021-05-09 00:00:00+00:00,312.0,15,17,55958.27,55958.27,55958.27,0.0,32.4
D1,2020-03-23 00:00:00+00:00,2020-04-01 00:00:00+00:00,216.0,10,23,6412.905,7080.905,6746.905,668.0,32.392838208985815
D1,2022-02-10 00:00:00+00:00,2022-02-16 00:00:00+00:00,144.0,9,23,39350.665,42493.915,40922.29,3143.25,32.31767253958535
D1,2023-08-01 00:00:00+00:00,2023-08-05 00:00:00+00:00,96.0,7,24,30200.0,28313.5,29256.75,1886.5,32.316222616457814
D1,2023-08-18 00:00:00+00:00,2023-09-02 00:00:00+00:00,360.0,16,17,27415.5,28215.5,27815.5,800.0,32.27183169960337
D1,2021-05-19 00:00:00+00:00,2021-06-04 00:00:00+00:00,384.0,17,17,44171.0,46837.055,45504.0275,2666.0550000000003,32.11821227418492
D1,2024-07-22 00:00:00+00:00,2024-07-26 00:00:00+00:00,96.0,5,24,60894.6,62736.75,61815.675,1842.1500000000015,31.85082336696235
D1,2022-02-26 00:00:00+00:00,2022-03-07 00:00:00+00:00,216.0,12,19,40075.6,39350.665,39713.1325,724.9349999999977,31.81916378669679
D1,2023-05-22 00:00:00+00:00,2023-05-25 00:00:00+00:00,72.0,4,24,27850.5,28405.0,28127.75,554.5,31.38135955163908
D1,2023-07-18 00:00:00+00:00,2023-07-23 00:00:00+00:00,120.0,6,24,30625.0,28313.5,29469.25,2311.5,31.156181021530323
D1,2022-09-21 00:00:00+00:00,2022-10-05 00:00:00+00:00,336.0,18,15,20467.15,21642.15,21054.65,1175.0,30.68742242905309
D1,2022-01-31 00:00:00+00:00,2022-02-06 00:00:00+00:00,144.0,7,23,38625.255000000005,42493.915,40559.58500000001,3868.659999999996,30.309057267510788
D1,2024-07-10 00:00:00+00:00,2024-07-12 00:00:00+00:00,48.0,3,24,60305.05,62736.75,61520.9,2431.699999999997,30.013667622582968
D1,2022-10-29 00:00:00+00:00,2022-11-03 00:00:00+00:00,120.0,6,22,19502.9,20383.9,19943.4,881.0,29.880048404755957
D1,2020-03-16 00:00:00+00:00,2020-03-19 00:00:00+00:00,72.0,4,23,6820.355,7080.905,6950.629999999999,260.5500000000002,29.687153004085317
D1,2023-04-24 00:00:00+00:00,2023-04-30 00:00:00+00:00,144.0,16,17,28989.15,25290.3,27139.725,3698.850000000002,29.217915224682073
D1,2020-10-05 00:00:00+00:00,2020-10-07 00:00:00+00:00,48.0,5,22,10654.605,11154.0,10904.3025,499.39500000000044,29.068711792819826
D1,2019-11-25 00:00:00+00:00,2019-11-29 00:00:00+00:00,96.0,5,22,8030.094999999999,8459.335,8244.715,429.2399999999998,28.89562327680971
D1,2022-04-11 00:00:00+00:00,2022-04-16 00:00:00+00:00,120.0,7,20,43668.35,41251.85,42460.1,2416.5,28.006109197220823
D1,2023-09-13 00:00:00+00:00,2023-09-23 00:00:00+00:00,240.0,12,16,26528.0,27415.5,26971.75,887.5,27.882530936762475
D1,2022-04-02 00:00:00+00:00,2022-04-07 00:00:00+00:00,120.0,6,20,42850.0,41251.85,42050.925,1598.1500000000015,27.74552816984094
D1,2022-10-26 00:00:00+00:00,2022-10-28 00:00:00+00:00,48.0,3,22,19473.9,20383.9,19928.9,910.0,27.542352043533967
D1,2020-10-01 00:00:00+00:00,2020-10-03 00:00:00+00:00,48.0,3,22,10509.505,11154.0,10831.752499999999,644.4950000000008,27.182619754410137
D1,2022-03-28 00:00:00+00:00,2022-04-01 00:00:00+00:00,96.0,5,20,42667.0,41251.85,41959.425,1415.1500000000015,27.086464824151015
D1,2021-10-20 00:00:00+00:00,2021-10-24 00:00:00+00:00,96.0,5,19,53929.365000000005,53326.79,53628.0775,602.5750000000044,26.50221619590507
