tf,start_ts,end_ts,overlap_hours,kijun_flat_bars,ssb_flat_bars,kijun,ssb,range_mid,mid_spread,strength
D1,2020-05-14 00:00:00+00:00,2020-05-15 00:00:00+00:00,24.0,4,7,8407.975,7965.0,8186.4875,442.97500000000036,11.004538811078906
D1,2026-01-08 00:00:00+00:00,2026-01-11 00:00:00+00:00,72.0,8,4,89584.45000000001,87680.15,88632.3,1904.3000000000175,10.964424994974406
D1,2025-04-02 00:00:00+00:00,2025-04-05 00:00:00+00:00,72.0,4,7,82656.0,87995.75,85325.875,5339.75,10.91681825388619
D1,2021-04-14 00:00:00+00:00,2021-04-17 00:00:00+00:00,72.0,4,7,57719.095,53994.08,55856.5875,3725.0149999999994,10.87477321544012
D1,2021-11-15 00:00:00+00:00,2021-11-17 00:00:00+00:00,48.0,8,5,63374.35,54953.715,59164.0325,8420.635000000002,10.85503606272828
D1,2022-09-03 00:00:00+00:00,2022-09-05 00:00:00+00:00,48.0,9,3,22354.0,22354.0,22354.0,0.0,10.8
D1,2024-11-13 00:00:00+00:00,2024-11-17 00:00:00+00:00,96.0,5,6,79321.70000000001,76160.55,77741.125,3161.1500000000087,10.76237472926441
D1,2026-01-22 00:00:00+00:00,2026-01-23 00:00:00+00:00,24.0,3,7,92346.05,91170.35,91758.20000000001,1175.699999999997,10.663369986624904
D1,2021-11-28 00:00:00+00:00,2021-12-02 00:00:00+00:00,96.0,5,5,61221.85,61221.85,61221.85,0.0,10.0
D1,2020-01-09 00:00:00+00:00,2020-01-12 00:00:00+00:00,72.0,5,5,7447.71,7447.71,7447.71,0.0,10.0
D1,2022-01-01 00:00:00+00:00,2022-01-04 00:00:00+00:00,72.0,6,5,48753.555,53641.97,51197.7625,4888.415000000001,9.858682827867883
