tf,start_ts,end_ts,overlap_hours,kijun_flat_bars,ssb_flat_bars,kijun,ssb,range_mid,mid_spread,strength,range_low,range_high,range_mid_box,range_width,buffer_abs,status,breakout_side,breakout_ts,bars_to_break
M30,2026-02-04 05:00:00,2026-02-04 07:30:00,2.5,6,15,74920.85,75969.1,75444.975,1048.25,22.487552721172367,76072.0,76761.0,76416.5,689.0,68.9,BREAKOUT_DOWN,DOWN,2026-02-04 11:00:00,7.0
M30,2026-01-11 06:30:00,2026-01-11 10:30:00,4.0,11,11,90588.25,90588.25,90588.25,0.0,22.0,90555.0,90787.8,90671.4,232.8000000000029,23.280000000000292,BREAKOUT_UP,UP,2026-01-11 12:00:00,3.0
M30,2026-01-17 06:00:00,2026-01-17 08:30:00,2.5,6,14,95090.0,95019.75,95054.875,70.25,21.58404837838584,94977.5,95302.9,95140.2,325.3999999999942,32.53999999999942,BREAKOUT_UP,UP,2026-01-17 13:30:00,10.0
M30,2026-01-04 01:30:00,2026-01-04 04:30:00,3.0,7,12,90732.05,90429.4,90580.725,302.65000000000873,19.933398160004508,90966.5,91558.0,91262.25,591.5,59.150000000000006,ACTIVE,NONE,,
M30,2026-01-21 08:00:00,2026-01-21 11:00:00,3.0,10,10,88937.6,89601.15,89269.375,663.5499999999884,19.852434467132035,88922.9,89449.0,89185.95,526.1000000000058,52.61000000000058,BREAKOUT_DOWN,DOWN,2026-01-21 11:30:00,1.0
M30,2026-01-13 11:00:00,2026-01-13 14:00:00,3.0,7,11,91843.8,91371.3,91607.55,472.5,18.70352959191486,91700.6,92555.1,92127.85,854.5,85.45,BREAKOUT_UP,UP,2026-01-13 15:30:00,3.0
M30,2026-01-16 21:30:00,2026-01-17 00:00:00,2.5,12,7,94998.75,95036.15,95017.45,37.39999999999418,17.992917773264594,95193.9,95536.9,95365.4,343.0,34.300000000000004,BREAKOUT_DOWN,DOWN,2026-01-17 07:00:00,14.0
M30,2026-01-14 00:00:00,2026-01-14 02:30:00,2.5,10,7,94282.15,93937.35,94109.75,344.79999999998836,16.34013289989736,95082.0,95627.6,95354.8,545.6000000000058,54.560000000000585,BREAKOUT_DOWN,DOWN,2026-01-14 05:00:00,5.0
M30,2026-01-28 13:30:00,2026-01-28 17:00:00,3.5,8,8,89615.2,88854.9,89235.04999999999,760.3000000000029,15.864828571698428,88852.2,90444.4,89648.29999999999,1592.199999999997,159.21999999999971,BREAKOUT_DOWN,DOWN,2026-01-29 01:30:00,17.0
M30,2026-01-20 02:00:00,2026-01-20 04:00:00,2.0,11,5,92747.5,92747.5,92747.5,0.0,14.8,92143.5,92693.4,92418.45,549.8999999999942,54.98999999999942,BREAKOUT_DOWN,DOWN,2026-01-20 04:30:00,1.0
